Hovedinstitution;Institutionsnummer;Institutionsnavn;Enhedsart;Adresse;Postnummer;Postdistrikt;Vejkode;Beliggenhedskommune;Beliggenhedsregion;Geokode: Breddegrad;Geokode: Længdegrad;Institutionsleder;Telefonnummer;E-mail adresse;Webadresse;Institutionstype, nr;Institutionstype, navn;Undervisningsniveau;Ressortministerium;CVR-nummer;P-nummer;Ejerkode, nr;Ejerkode, navn;Administrativ kommune;Aktivkode, nr;Aktivkode, navn;Ajourdato;Oprettelsesmåned;Nedlæggelsesdato
;280855;Trekløverskolen;Institution uden enheder;Tinghusvej 16;8620;Kjellerup;1833;Silkeborg Kommune;Region Midtjylland;56.287352;9.42900475;Peter Rasmussen;8970 2420;trekloeverskolen@silkeborg.dk;trekloever.aula.dk;1012;Folkeskoler;10;Børne- og Undervisningsministeriet;29189641;1003369445;2;Kommunale;Silkeborg Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;14/11/2024;201708;
;280856;Tollundskolen;Institution uden enheder;Funder Skolevej 3;8600;Silkeborg;0458;Silkeborg Kommune;Region Midtjylland;56.14845861;9.46208257;Charlotte Juhl Andersen;8970 2130;tollundskolen@silkeborg.dk;tollundskolen.aula.dk;1012;Folkeskoler;10;Børne- og Undervisningsministeriet;29189641;1003359579;2;Kommunale;Silkeborg Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;14/11/2024;201708;
;280862;Karisefonden;Institution uden enheder;Hasselvej 2;4690;Haslev;0328;Faxe Kommune;Region Sjælland;55.32580598;11.98208905;Ann-Sofie Bech von Hielmcrone;5950 5870;kontor@karisefonden.dk;karisefonden.dk;1026;Uddannelsesinstitutioner for unge med særlige behov;;Børne- og Undervisningsministeriet;39392089;1023517104;6;Selvejende, kommunale;;1;Aktiv tællingsmæssigt for Danmarks Statistik;18/08/2026;201611;
;280863;Uddannelse og Arbejdsmarked, Ungdomsskolen;Institution uden enheder;Falstersgade 24;8700;Horsens;2011;Horsens Kommune;Region Midtjylland;55.85671821;9.84254145;Henrik Meldgaard;7629 1530;ungdomsskolen@horsens.dk;www.unghorsens.dk;1026;Uddannelsesinstitutioner for unge med særlige behov;;Børne- og Undervisningsministeriet;29189889;1008339887;2;Kommunale;Horsens Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;22/11/2019;201611;
;280878;Frørupskolen, Den Interne Skole, Helsehjemmet;Institution uden enheder;Havvejen 73;6100;Haderslev;0445;Haderslev Kommune;Region Syddanmark;55.16209435;9.51542289;Tina Laumann;2788 0611;thl@kfumsoc.dk;www.froerupskolen.dk;3002;Specialundervisningstilbud på børne- og ungehjem;10;Børne- og Undervisningsministeriet;25664612;1021650311;6;Selvejende, kommunale;;1;Aktiv tællingsmæssigt for Danmarks Statistik;11/04/2024;201612;
280879;280879;SOSU Østjylland;Hovedskole (institution med enheder);Hedeager 33;8200;Aarhus N;3116;Aarhus Kommune;Region Midtjylland;56.19321241;10.17870588;Anette Schmidt Laursen;8741 2626;sosu@sosuoj.dk;www.sosuoj.dk;1071;Erhvervsskoler m.v.;;Børne- og Undervisningsministeriet;29553645;1003352057;4;Selvejende, statslige;;4;Aktiv juridisk tællingsmæssigt for Danmarks Statistik;30/10/2017;201612;
280879;280329;SOSU Østjylland, Skanderborg afd.;Afdeling (underordnet enhed);Grønlandsvej 5;8660;Skanderborg;0356;Skanderborg Kommune;Region Midtjylland;56.05340816;9.9599177;Anette Schmidt Laursen;8680 4755;sosu@sosuoj.dk;www.sosuoj.dk;1071;Erhvervsskoler m.v.;;Børne- og Undervisningsministeriet;29553645;1017487376;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;30/07/2020;201202;
280879;743407;SOSU Østjylland, Silkeborg afd.;Afdeling (underordnet enhed);Høgevej 4;8600;Silkeborg;0771;Silkeborg Kommune;Region Midtjylland;56.16814296;9.56111976;Anette Schmidt Laursen;8680 4755;sosu@sosuoj.dk;www.sosuoj.dk;1071;Erhvervsskoler m.v.;;Børne- og Undervisningsministeriet;29553645;1004622813;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;25/11/2019;199101;
280879;751443;SOSU Østjylland, Aarhus;Afdeling (underordnet enhed);Hedeager 33;8200;Aarhus N;3116;Aarhus Kommune;Region Midtjylland;56.19321241;10.17870588;Anette Schmidt Laursen;8741 2626;sosu@sosuoj.dk;www.sosuoj.dk;1071;Erhvervsskoler m.v.;;Børne- og Undervisningsministeriet;29553645;1003352057;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;04/01/2019;199101;
;280881;Højskolen i Krummerup, STU;Institution uden enheder;Haldagermaglevej 6;4250;Fuglebjerg;0571;Næstved Kommune;Region Sjælland;55.3049462;11.51262746;Lone Susanne Henriksen;5545 3300;krummerup@naestved.dk;www.krummerup.dk;1026;Uddannelsesinstitutioner for unge med særlige behov;10;Børne- og Undervisningsministeriet;29189625;1003289824;2;Kommunale;Næstved Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;22/11/2019;201612;
;280882;Glad stu Ringsted;Institution uden enheder;Jernbanevej 8;4100;Ringsted;3762;Ringsted Kommune;Region Sjælland;55.43863974;11.79016174;Sacha Lohmann Weiss;5196 3852;sacha.lw@gladfonden.dk;;1026;Uddannelsesinstitutioner for unge med særlige behov;;Børne- og Undervisningsministeriet;27610013;1017859362;0;Private;;1;Aktiv tællingsmæssigt for Danmarks Statistik;20/08/2025;201612;
;280891;Job & Sprog Djurs;Institution uden enheder;Erhvervsparken 3;8500;Grenaa;6706;Norddjurs Kommune;Region Midtjylland;56.41125036;10.91880753;Henrik Christensen;8959 1950;sprogundervisning@norddjurs.dk;sprogundervisning.norddjurs.dk;1052;Sprogcentre;;Udlændinge- og Integrationsministeriet;29189986;1021982632;2;Kommunale;Norddjurs Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;28/01/2022;201701;
;280893;Faxe Sociale Udviklingscenter, STU;Institution uden enheder;Industriparken 4;4640;Faxe;0415;Faxe Kommune;Region Sjælland;55.26261155;12.10367222;June Baasch-Larsen;5620 2940;fsuadm2@faxekommune.dk;fsu.faxekommune.dk/stu-faxe;1026;Uddannelsesinstitutioner for unge med særlige behov;;Børne- og Undervisningsministeriet;29188475;1003300488;2;Kommunale;Faxe Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;19/02/2025;201701;
;280898;Filmhøjskolen Møn;Institution uden enheder;Skolegade 4-6;4780;Stege;1444;Vordingborg Kommune;Region Sjælland;54.98684542;12.28667671;Lars E. Gandsø;7199 9198;anette@filmhojskolen.dk;filmhojskolen.dk;1022;Folkehøjskoler;;Kulturministeriet;37407623;1021116064;5;Selvejende, private;;1;Aktiv tællingsmæssigt for Danmarks Statistik;23/04/2019;201701;
;280900;STU Greve;Institution uden enheder;Hundige Alle 11;2670;Greve;3080;Greve Kommune;Region Sjælland;55.60147316;12.33173374;Trine Dandanell Larsen;4397 3180;tdl@greve.dk;stugreve.dk;1026;Uddannelsesinstitutioner for unge med særlige behov;;Børne- og Undervisningsministeriet;44023911;1019475898;2;Kommunale;Greve Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;20/12/2024;201701;
;280901;Egholt;Institution uden enheder;Næstvedvej 78A;4180;Sorø;0565;Sorø Kommune;Region Sjælland;55.38897341;11.64319537;Lars Egede Andersen;5760 8300;adm@egholt.dk;www.egholt.dk;1026;Uddannelsesinstitutioner for unge med særlige behov;;Børne- og Undervisningsministeriet;11565603;1000257232;6;Selvejende, kommunale;;1;Aktiv tællingsmæssigt for Danmarks Statistik;05/12/2017;201702;
;280905;AOF Job og Dansk, Esbjerg, Vejen og Varde;Institution uden enheder;Hededammen 5;6705;Esbjerg Ø;3127;Esbjerg Kommune;Region Syddanmark;55.48548731;8.49732145;Betina Johansson;6037 8322;bj@aofjobogdansk.dk;;1052;Sprogcentre;;Udlændinge- og Integrationsministeriet;59603914;1002100818;0;Private;;1;Aktiv tællingsmæssigt for Danmarks Statistik;12/11/2025;201702;
;280912;Pædagogisk Central;Institution uden enheder;Frisvadvej 35;6800;Varde;2207;Varde Kommune;Region Syddanmark;55.62688517;8.48620941;Bjarne Lund Christensen;7994 7243;bjlc@varde.dk;www.vardekommune.dk;2022;Centre for undervisningsmidler;;Børne- og Undervisningsministeriet;29189811;1010475232;2;Kommunale;Varde Kommune;2;Aktiv institution medtælles dog ikke i Danmarks Statistiks statistikker;06/11/2025;201703;
;280918;Efterskolen Ådalen og Åskolen - friskolen i Hørning (friskolen);Institution uden enheder;Brogårdsvej 4;8362;Hørning;0120;Skanderborg Kommune;Region Midtjylland;56.09649156;10.04872201;Kim Fleischer;8768 2201;aaskolen@aaskolen.dk;aaskolen.dk;1013;Friskoler og private grundskoler;8;Børne- og Undervisningsministeriet;65854112;1024552140;5;Selvejende, private;;1;Aktiv tællingsmæssigt for Danmarks Statistik;05/03/2025;201708;
;280923;Fonden Odamsgård;Institution uden enheder;Løgstørvej 82;9500;Hobro;0969;Mariagerfjord Kommune;Region Nordjylland;56.6523536;9.74901642;Ulrik Rosendahl;9852 4459;kontor@odamsgaard.dk;www.odamsgaard.dk;1026;Uddannelsesinstitutioner for unge med særlige behov;;Børne- og Undervisningsministeriet;25853709;1008226055;6;Selvejende, kommunale;;1;Aktiv tællingsmæssigt for Danmarks Statistik;22/11/2019;201705;
;280925;Rødding Fri Fag- og Efterskole (efterskolen);Institution uden enheder;Rødding Præstegårdsvej 11;6630;Rødding;0738;Vejen Kommune;Region Syddanmark;55.36718454;9.05608157;Henrik Dittmann Gregersen;7484 2500;mail@fagogefterskole.dk;www.rødding.dk;1010;Efterskoler med samlet særligt tilbud;;Børne- og Undervisningsministeriet;63743828;1002176284;5;Selvejende, private;;1;Aktiv tællingsmæssigt for Danmarks Statistik;11/03/2024;201708;
;280926;Tronsø Efterskole og Fri Fagskole;Institution uden enheder;Tronsø Parkvej 40;7200;Grindsted;0680;Billund Kommune;Region Syddanmark;55.76939722;8.91989756;Marie Spanggaard Dupont;7532 0722;mail@tronsoeskolen.dk;www.tronsoeskolen.dk;1011;Efterskoler;10;Børne- og Undervisningsministeriet;15739495;1000970330;5;Selvejende, private;;1;Aktiv tællingsmæssigt for Danmarks Statistik;24/08/2026;201708;
;280927;Vittrup Fri Fagskole;Institution uden enheder;Børglum Klostervej 84;9480;Løkken;0490;Hjørring Kommune;Region Nordjylland;57.38646727;9.79005764;Heidi Lykke, konst.;4020 5949;forstander@vittrupskolen.dk;www.vittrupskolen.dk;1023;Frie fagskoler;;Børne- og Undervisningsministeriet;38054031;1021873175;5;Selvejende, private;;1;Aktiv tællingsmæssigt for Danmarks Statistik;24/09/2025;201908;
;280928;Vestbyen Friskole;Institution uden enheder;Alstrupvej 9;7500;Holstebro;0135;Holstebro Kommune;Region Midtjylland;56.3920741;8.57935229;Lone Brødbæk;9386 8450;kontakt@vestbyenfriskole.dk;vestbyenfriskole.dk;1013;Friskoler og private grundskoler;7;Børne- og Undervisningsministeriet;38397184;1022225010;5;Selvejende, private;;1;Aktiv tællingsmæssigt for Danmarks Statistik;06/09/2023;201708;
;280929;Billum Friskole;Institution uden enheder;Kildegårdvej 20;6852;Billum;4055;Varde Kommune;Region Syddanmark;55.60935639;8.31841167;Kjeld Kristensen, konst.;5188 9596;bogholderi@billumfriskole.dk;billumfriskole.dk;1013;Friskoler og private grundskoler;8;Børne- og Undervisningsministeriet;38556312;1022392928;5;Selvejende, private;;1;Aktiv tællingsmæssigt for Danmarks Statistik;24/08/2026;201708;
;280931;Skolen ved Havet;Institution uden enheder;Lyngbakken 16;3390;Hundested;0870;Halsnæs Kommune;Region Hovedstaden;55.94851908;11.86277603;Charlotte Hertel Kristiansen;5361 2616;info@skolenvedhavet.dk;skolenvedhavet.dk;1013;Friskoler og private grundskoler;7;Børne- og Undervisningsministeriet;38414798;1022242268;5;Selvejende, private;;1;Aktiv tællingsmæssigt for Danmarks Statistik;28/02/2020;201708;
;280933;Glad STU Aabenraa;Institution uden enheder;H.P. Hanssens Gade 23, 2.sal;6200;Aabenraa;0551;Aabenraa Kommune;Region Syddanmark;55.04560241;9.42133216;Helene Teichert;7463 3600;aabenraa@gladfonden.dk;www.gladuddannelse.dk;1026;Uddannelsesinstitutioner for unge med særlige behov;;Børne- og Undervisningsministeriet;27610013;1018335685;0;Private;;1;Aktiv tællingsmæssigt for Danmarks Statistik;09/04/2025;201706;
;280934;Terndrup Skole;Institution uden enheder;Terndrup Halvej 1;9575;Terndrup;0978;Rebild Kommune;Region Nordjylland;56.81848587;10.05750119;Søren Jørgensen;9988 8055;terndrupskole@rebild.dk;www.kilden.aula.dk;1012;Folkeskoler;10;Børne- og Undervisningsministeriet;29189463;1003382657;2;Kommunale;Rebild Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;02/03/2026;201708;
;280935;Jammerbugt Sprog- og Kompetencecenter;Institution uden enheder;Gl. Landevej 70 Birkelse;9440;Aabybro;3305;Jammerbugt Kommune;Region Nordjylland;57.15144921;9.6870996;Michelle Louis;7257 7777;oui@jammerbugt.dk;www.jammerbugt.dk;1052;Sprogcentre;;Børne- og Undervisningsministeriet;29189439;1009190550;2;Kommunale;Jammerbugt Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;04/01/2019;;
;280937;Lynghedeskolen;Institution uden enheder;Tinghusgade 9;7200;Grindsted;0664;Billund Kommune;Region Syddanmark;55.75163563;8.92446021;Søren Rahbek;7972 7729;lynghedeskolen@billund.dk;lynghedeskolen.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;29189765;1003331518;2;Kommunale;Billund Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;05/03/2021;201708;
280938;280938;MARTEC - Maritime and Polytechnic College;Hovedskole (institution med enheder);Hånbækvej 54;9900;Frederikshavn;3220;Frederikshavn Kommune;Region Nordjylland;57.42775099;10.50590323;Pia Ankerstjerne;9620 8888;martec@martec.dk;www.martec.dk;1081;Maritime uddannelsesinstitutioner;;Uddannelses- og Forskningsministeriet;70771128;1003422967;4;Selvejende, statslige;;4;Aktiv juridisk tællingsmæssigt for Danmarks Statistik;08/04/2026;201707;
280938;281776;MARTEC Thisted;Afdeling (underordnet enhed);Lerpyttervej 43;7700;Thisted;4270;Thisted Kommune;Region Nordjylland;56.96784701;8.7004985;Pia Ankerstjerne;9620 8888;martec@martec.dk;www.martec.dk;1081;Maritime uddannelsesinstitutioner;;Uddannelses- og Forskningsministeriet;70771128;1029325258;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;20/11/2024;202211;
280938;282042;MARTEC Esbjerg;Afdeling (underordnet enhed);Niels Bohrs Vej 3;6700;Esbjerg;5701;Esbjerg Kommune;Region Syddanmark;55.48867589;8.44814365;Pia Ankerstjerne;9620 8888;martec@martec.dk;Martec.dk;1081;Maritime uddannelsesinstitutioner;;Uddannelses- og Forskningsministeriet;70771128;;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;20/11/2024;202411;
280938;813412;MARTEC - Maritime and Polytechnic College;Afdeling (underordnet enhed);Hånbækvej 54;9900;Frederikshavn;3220;Frederikshavn Kommune;Region Nordjylland;57.42775099;10.50590323;Pia Ankerstjerne;9620 8888;martec@martec.dk;www.martec.dk;1081;Maritime uddannelsesinstitutioner;;Uddannelses- og Forskningsministeriet;70771128;1003422967;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;18/09/2023;200101;
280938;841401;MARTEC Skagen;Afdeling (underordnet enhed);Kuttervej 13;9990;Skagen;1033;Frederikshavn Kommune;Region Nordjylland;57.71381789;10.57967111;Pia Ankerstjerne;9820 8888;martec@martec.dk;www.martec.dk;1081;Maritime uddannelsesinstitutioner;;Uddannelses- og Forskningsministeriet;70771128;1022582840;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;26/08/2021;192108;
;280940;AOF Job & Dansk;Institution uden enheder;Laboratorievej 16;6800;Varde;4767;Varde Kommune;Region Syddanmark;55.63365294;8.47838952;Betina Johansson;7610 6370;varde@aofjobogdansk.dk;;1052;Sprogcentre;;Udlændinge- og Integrationsministeriet;59603914;1022164151;0;Private;;1;Aktiv tællingsmæssigt for Danmarks Statistik;21/08/2017;201708;
280941;280941;ZBC - Zealand Business College;Hovedskole (institution med enheder);Ahorn Alle 3-5;4100;Ringsted;0230;Ringsted Kommune;Region Sjælland;55.42856772;11.78470925;Glenny Hansen;5578 8888;zbc@zbc.dk;www.zbc.dk;1071;Erhvervsskoler m.v.;;Børne- og Undervisningsministeriet;10521815;1022883212;4;Selvejende, statslige;;4;Aktiv juridisk tællingsmæssigt for Danmarks Statistik;10/09/2026;201708;
280941;253401;ZBC Køge (SOSU);Afdeling (underordnet enhed);Campusbuen 40;4600;Køge;1480;Køge Kommune;Region Sjælland;55.48766878;12.15582537;Glenny Hansen;5578 8888;zbc@zbc.dk;www.zbc.dk;1071;Erhvervsskoler m.v.;;Børne- og Undervisningsministeriet;10521815;1022992852;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;10/09/2026;199108;
280941;265402;ZBC Roskilde;Afdeling (underordnet enhed);Maglegårdsvej 8;4000;Roskilde;5130;Roskilde Kommune;Region Sjælland;55.628065;12.07793696;Glenny Hansen;5578 8888;zbc@zbc.dk;www.zbc.dk;1071;Erhvervsskoler m.v.;;Børne- og Undervisningsministeriet;10521815;1021096632;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;10/09/2026;196406;
280941;280569;ZBC Roskilde (SOSU);Afdeling (underordnet enhed);Maglegårdsvej 8;4000;Roskilde;5130;Roskilde Kommune;Region Sjælland;55.628065;12.07793696;Glenny Hansen;5578 8888;zbc@zbc.dk;www.zbc.dk;1071;Erhvervsskoler m.v.;;Børne- og Undervisningsministeriet;10521815;1021096632;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;10/09/2026;201503;
280941;280728;ZBC Handels og Teknisk gymnasium Vordingborg;Afdeling (underordnet enhed);Chr Richardtsvej 43;4760;Vordingborg;0221;Vordingborg Kommune;Region Sjælland;55.01536964;11.91551335;Glenny Hansen;5578 8888;zbc@zbc.dk;www.zbc.dk;1071;Erhvervsskoler m.v.;;Børne- og Undervisningsministeriet;10521815;1003401250;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;10/09/2026;201512;
280941;280729;ZBC Handels og Teknisk gymnasium Ringsted;Afdeling (underordnet enhed);Ahorn Alle 3-5;4100;Ringsted;0230;Ringsted Kommune;Region Sjælland;55.42856772;11.78470925;Glenny Hansen;5578 8888;zbc@zbc.dk;www.zbc.dk;1071;Erhvervsskoler m.v.;;Børne- og Undervisningsministeriet;10521815;1016724560;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;10/09/2026;201512;
280941;280730;ZBC Handelsgymnasiet Næstved;Afdeling (underordnet enhed);Handelsskolevej 3;4700;Næstved;0582;Næstved Kommune;Region Sjælland;55.25137083;11.78470399;Glenny Hansen;5578 8888;zbc@zbc.dk;www.zbc.dk;1071;Erhvervsskoler m.v.;;Børne- og Undervisningsministeriet;10521815;1003401183;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;10/09/2026;201512;
280941;280866;ZBC10, Næstved;Afdeling (underordnet enhed);Handelsskolevej 3;4700;Næstved;0582;Næstved Kommune;Region Sjælland;55.25137083;11.78470399;Glenny Hansen;5578 8888;zbc@zbc.dk;www.zbc.dk;1012;Folkeskoler;10;Børne- og Undervisningsministeriet;10521815;1003401183;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;10/09/2026;201708;
280941;281055;ZBC Køge;Afdeling (underordnet enhed);Campusbuen 40;4600;Køge;1480;Køge Kommune;Region Sjælland;55.48766878;12.15582537;Glenny Hansen;5578 8888;zbc@zbc.dk;www.zbc.dk;1071;Erhvervsskoler m.v.;;Børne- og Undervisningsministeriet;10521815;1022992852;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;10/09/2026;201809;
280941;281056;ZBC Haslev;Afdeling (underordnet enhed);Søndergade 12;4690;Haslev;0983;Faxe Kommune;Region Sjælland;55.32514858;11.95640332;Glenny Hansen;5578 8888;zbc@zbc.dk;www.zbc.dk;1071;Erhvervsskoler m.v.;;Børne- og Undervisningsministeriet;10521815;;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;10/09/2026;201809;
280941;281057;ZBC Handels- og Teknisk gymnasium Slagelse;Afdeling (underordnet enhed);Willemoesvej 4;4200;Slagelse;2052;Slagelse Kommune;Region Sjælland;55.40097806;11.3326086;Glenny Hansen;5578 8888;zbc@zbc.dk;www.zbc.dk;1071;Erhvervsskoler m.v.;;Børne- og Undervisningsministeriet;10521815;1022993050;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;10/09/2026;201809;
280941;281415;ZBC10, Ringsted;Afdeling (underordnet enhed);Ahorn Alle 3;4100;Ringsted;0230;Ringsted Kommune;Region Sjælland;55.42856772;11.78470925;Glenny Hansen;5578 8888;zbc@zbc.dk;www.zbc.dk;1012;Folkeskoler;10;Børne- og Undervisningsministeriet;10521815;1016724560;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;10/09/2026;202003;
280941;281546;ZBC Kalundborg (SOSU);Afdeling (underordnet enhed);J Hagemann-Petersens Alle 22;4400;Kalundborg;0762;Kalundborg Kommune;Region Sjælland;55.68243754;11.07966683;Glenny Hansen;5578 8888;zbc@zbc.dk;www.zbc.dk;1071;Erhvervsskoler m.v.;;Børne- og Undervisningsministeriet;10521815;;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;10/09/2026;202011;
280941;281547;ZBC Slagelse - Kokke- & Tjenerskolen;Afdeling (underordnet enhed);Valbyvej 69C;4200;Slagelse;1903;Slagelse Kommune;Region Sjælland;55.41657614;11.34984344;Glenny Hansen;5578 8888;zbc@zbc.dk;www.zbc.dk;1071;Erhvervsskoler m.v.;;Børne- og Undervisningsministeriet;10521815;1022996947;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;10/09/2026;202011;
280941;281548;ZBC Slagelse, Auto- , Transport- &  Logistikskolen;Afdeling (underordnet enhed);Dalsvinget 18-20;4200;Slagelse;0264;Slagelse Kommune;Region Sjælland;55.41563321;11.34668205;Glenny Hansen;5578 8888;zbc@zbc.dk;www.zbc.dk;1071;Erhvervsskoler m.v.;;Børne- og Undervisningsministeriet;10521815;1022993077;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;10/09/2026;202011;
280941;281549;ZBC Slagelse, Business;Afdeling (underordnet enhed);Bredahlsgade 3;4200;Slagelse;0188;Slagelse Kommune;Region Sjælland;55.40364639;11.33322961;Glenny Hansen;5578 8888;zbc@zbc.dk;www.zbc.dk;1071;Erhvervsskoler m.v.;;Børne- og Undervisningsministeriet;10521815;1022992941;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;10/09/2026;202011;
280941;281550;ZBC Slagelse, El- og Dataskolen;Afdeling (underordnet enhed);Willemoesvej 4;4200;Slagelse;2052;Slagelse Kommune;Region Sjælland;55.40097806;11.3326086;Glenny Hansen;5578 8888;zbc@zbc.dk;www.zbc.dk;1071;Erhvervsskoler m.v.;;Børne- og Undervisningsministeriet;10521815;1022993050;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;10/09/2026;202011;
280941;281551;ZBC Slagelse, Landbrugs- & Gartnerskolen, Jernbjerggaard;Afdeling (underordnet enhed);C.A.Olesensvej 2;4200;Slagelse;0242;Slagelse Kommune;Region Sjælland;55.42125173;11.34671934;Glenny Hansen;5578 8888;zbc@zbc.dk;www.zbc.dk;1071;Erhvervsskoler m.v.;;Børne- og Undervisningsministeriet;10521815;1022993026;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;10/09/2026;202011;
280941;281671;ZBC Faxe;Afdeling (underordnet enhed);Præstøvej 5;4640;Faxe;0767;Faxe Kommune;Region Sjælland;55.25465925;12.11908212;Glenny Hansen;5578 8888;zbc@zbc.dk;www.zbc.dk;1071;Erhvervsskoler m.v.;;Børne- og Undervisningsministeriet;10521815;1027947294;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;10/09/2026;202202;
280941;281913;ZBC10, Slagelse;Afdeling (underordnet enhed);Bredahlsgade 1B;4200;Slagelse;0188;Slagelse Kommune;Region Sjælland;55.40295214;11.33500349;Glenny Hansen;5578 8888;zbc@zbc.dk;www.zbc.dk;1012;Folkeskoler;10;Børne- og Undervisningsministeriet;10521815;1022992984;4;Selvejende, statslige;Slagelse Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;10/09/2026;202401;
280941;282129;ZBC Ringsted STU;Afdeling (underordnet enhed);Ahorn Alle 3;4100;Ringsted;0230;Ringsted Kommune;Region Sjælland;55.42856772;11.78470925;Glenny Hansen;5578 8888;zbc@zbc.dk;www.zbc.dk;1026;Uddannelsesinstitutioner for unge med særlige behov;;Børne- og Undervisningsministeriet;10521815;1016724560;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;10/09/2026;;
280941;282131;ZBC Næstved;Afdeling (underordnet enhed);Troensevej 2;4700;Næstved;1769;Næstved Kommune;Region Sjælland;55.20696714;11.7662391;Glenny Hansen;5578 8888;zbc@zbc.dk;www.zbc.dk;1071;Erhvervsskoler m.v.;;Børne- og Undervisningsministeriet;10521815;1022992860;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;10/09/2026;202503;
280941;303401;ZBC Slagelse (SOSU);Afdeling (underordnet enhed);Bredahlsgade 3;4200;Slagelse;0188;Slagelse Kommune;Region Sjælland;55.40364639;11.33322961;Glenny Hansen;5578 8888;zbc@zbc.dk;www.zbc.dk;1071;Erhvervsskoler m.v.;;Børne- og Undervisningsministeriet;10521815;1022992941;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;10/09/2026;199101;
280941;315413;ZBC Holbæk (SOSU);Afdeling (underordnet enhed);Slotshaven 3;4300;Holbæk;1426;Holbæk Kommune;Region Sjælland;55.71233299;11.70146647;Glenny Hansen;5578 8888;zbc@zbc.dk;www.zbc.dk;1071;Erhvervsskoler m.v.;;Børne- og Undervisningsministeriet;10521815;1022992798;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;10/09/2026;200506;
280941;329405;ZBC Ringsted (SOSU);Afdeling (underordnet enhed);Ahorn Allé 3-5;4100;Ringsted;6865;Ringsted Kommune;Region Sjælland;55.4355856;11.80278047;Glenny Hansen;5578 8888;zbc@zbc.dk;www.zbc.dk;1071;Erhvervsskoler m.v.;;Børne- og Undervisningsministeriet;10521815;1016724560;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;10/09/2026;199101;
280941;329406;ZBC Ringsted;Afdeling (underordnet enhed);Ahorn Alle 3;4100;Ringsted;0230;Ringsted Kommune;Region Sjælland;55.42856772;11.78470925;Glenny Hansen;5578 8888;zbc@zbc.dk;www.zbc.dk;1071;Erhvervsskoler m.v.;;Børne- og Undervisningsministeriet;10521815;1016724560;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;10/09/2026;200310;
